Game Date,Split Type,Away Category,Away Team,Away Wins,Away Losses,Away Win %,Away P/L,Home Category,Home Team,Home Wins,Home Losses,Home Win %,Home P/L
"2025-05-28","REST","3rd game without a day off","COL","8","33","19%","-1842","3rd game without a day off","CHC","18","14","56%","-45"
"2025-05-28","HEAD TO HEAD","vs CHC","COL","0","1","0%","-100","vs COL","CHC","1","0","100%","+29"
"2025-05-28","PROJECTED STARTER","when German Marquez starts","COL","2","8","20%","-246","when Cade Horton starts","CHC","2","0","100%","+111"
"2025-05-28","ALL","All Games","ATH","24","30","44%","-597","All Games","HOU","28","25","52%","-65"
"2025-05-28","LOCATION","On Road","ATH","14","12","53%","+225","At Home","HOU","18","10","64%","+478"
"2025-05-28","STATUS","As Underdog or Even","ATH","14","22","38%","-481","As Favorite","HOU","18","16","52%","-290"
"2025-05-28","MONEY LINE","When Line was +181 to +211","ATH","0","2","0%","-200","When Line was -254 to -224","HOU","1","1","50%","-58"
"2025-05-28","LOCATION & STATUS","As Road Underdog","ATH","8","12","40%","-225","As Home Favorite","HOU","13","9","59%","+61"
"2025-05-28","OPP WIN%","vs Teams That Win 46-54% of Games","ATH","4","4","50%","+84","vs Teams That Win <46% of Games","HOU","5","8","38%","-315"
"2025-05-28","OPP DEFENSE","vs Teams Allowing <3.9 Runs","ATH","10","8","55%","+283","vs Teams Allowing >4.2 Runs","HOU","12","11","52%","-48"
"2025-05-28","REST","After a Day Off","ATH","3","4","42%","-81","After a Day Off","HOU","4","4","50%","-132"
"2025-05-28","HEAD TO HEAD","vs HOU","ATH","0","0","0%","+0","vs ATH","HOU","0","0","0%","+0"
"2025-05-28","PROJECTED STARTER","when JP Sears starts","ATH","6","4","60%","+167","when Hunter Brown starts","HOU","6","4","60%","+25"
"2025-05-28","ALL","All Games","NYY","33","20","62%","+80","All Games","LAA","24","29","45%","+98"
"2025-05-28","LOCATION","On Road","NYY","15","11","57%","-156","At Home","LAA","10","13","43%","-262"
"2025-05-28","STATUS","As Favorite","NYY","32","15","68%","+488","As Underdog or Even","LAA","19","23","45%","+349"
"2025-05-28","MONEY LINE","When Line was -231 to -201","NYY","2","1","66%","-4","When Line was +163 to +193","LAA","4","3","57%","+432"
"2025-05-28","LOCATION & STATUS","As Road Favorite","NYY","14","7","66%","+152","As Home Underdog","LAA","7","9","43%","-70"
"2025-05-28","OPP WIN%","vs Teams That Win 46-54% of Games","NYY","10","3","76%","+304","vs Teams That Win >54% of Games","LAA","10","13","43%","+212"
"2025-05-28","OPP DEFENSE","vs Teams Allowing >4.2 Runs","NYY","13","11","54%","-312","vs Teams Allowing <3.9 Runs","LAA","10","8","55%","+406"
"2025-05-28","REST","3rd game without a day off","NYY","23","13","63%","+152","3rd game without a day off","LAA","16","20","44%","-54"
"2025-05-28","HEAD TO HEAD","vs LAA","NYY","1","0","100%","+53","vs NYY","LAA","0","1","0%","-100"
"2025-05-28","PROJECTED STARTER","when Carlos Rodon starts","NYY","6","5","54%","-97","when Tyler Anderson starts","LAA","8","2","80%","+762"
"2025-05-28","ALL","All Games","WAS","24","29","45%","+106","All Games","SEA","29","23","55%","+313"
"2025-05-28","LOCATION","On Road","WAS","11","15","42%","-202","At Home","SEA","13","11","54%","-102"
"2025-05-28","STATUS","As Underdog or Even","WAS","22","23","48%","+548","As Favorite","SEA","17","14","54%","-252"
"2025-05-28","MONEY LINE","When Line was +123 to +153","WAS","9","8","52%","+460","When Line was -178 to -148","SEA","3","3","50%","-114"
"2025-05-28","LOCATION & STATUS","As Road Underdog","WAS","9","13","40%","-160","As Home Favorite","SEA","9","9","50%","-358"
"2025-05-28","OPP WIN%","vs Teams That Win >54% of Games","WAS","11","12","47%","+308","vs Teams That Win <46% of Games","SEA","7","7","50%","-176"
"2025-05-28","OPP DEFENSE","vs Teams Allowing >4.2 Runs","WAS","14","18","43%","-193","vs Teams Allowing >4.2 Runs","SEA","12","9","57%","+70"
"2025-05-28","REST","After a Day Off","WAS","5","4","55%","+129","After a Day Off","SEA","5","4","55%","+31"
"2025-05-28","HEAD TO HEAD","vs SEA","WAS","0","0","0%","+0","vs WAS","SEA","0","0","0%","+0"
"2025-05-28","PROJECTED STARTER","when Mitchell Parker starts","WAS","7","3","70%","+556","when Logan Evans starts","SEA","3","2","60%","+81"
"2025-05-28","ALL","All Games","MIA","22","30","42%","+67","All Games","SD","30","22","57%","+303"
"2025-05-28","LOCATION","On Road","MIA","8","16","33%","-167","At Home","SD","17","8","68%","+410"
"2025-05-28","STATUS","As Underdog or Even","MIA","18","28","39%","-53","As Favorite","SD","18","11","62%","+1"
"2025-05-28","MONEY LINE","When Line was +120 to +150","MIA","6","9","40%","-107","When Line was -176 to -146","SD","5","4","55%","-89"
"2025-05-28","LOCATION & STATUS","As Road Underdog","MIA","7","14","33%","-57","As Home Favorite","SD","14","6","70%","+272"
"2025-05-28","OPP WIN%","vs Teams That Win >54% of Games","MIA","8","17","32%","-291","vs Teams That Win <46% of Games","SD","17","5","77%","+681"
"2025-05-28","OPP DEFENSE","vs Teams Allowing <3.9 Runs","MIA","3","5","37%","-93","vs Teams Allowing >4.2 Runs","SD","18","12","60%","+82"
"2025-05-28","REST","3rd game without a day off","MIA","14","18","43%","+158","3rd game without a day off","SD","20","12","62%","+578"
"2025-05-28","HEAD TO HEAD","vs SD","MIA","0","1","0%","-100","vs MIA","SD","1","0","100%","+64"
"2025-05-28","PROJECTED STARTER","when Max Meyer starts","MIA","5","5","50%","+43","when Stephen Kolek starts","SD","2","2","50%","-67"
